# step cpu_mb gpu_mb
944 1314.61 0.00
945 1314.61 0.00
946 1314.61 0.00
947 1314.61 0.00
948 1314.61 0.00
949 1314.61 0.00
950 1314.61 0.00
951 1314.61 0.00
952 1314.61 0.00
953 1314.61 0.00
954 1314.61 0.00
955 1314.61 0.00
956 1314.61 0.00
957 1314.61 0.00
958 1314.61 0.00
959 1314.61 0.00
960 1314.61 0.00
961 1314.61 0.00
962 1314.61 0.00
963 1314.61 0.00
964 1314.61 0.00
965 1314.61 0.00
966 1314.61 0.00
967 1314.61 0.00
968 1314.61 0.00
969 1314.61 0.00
970 1314.61 0.00
971 1314.61 0.00
972 1314.61 0.00
973 1314.61 0.00
974 1314.61 0.00
975 1314.61 0.00
976 1314.61 0.00
977 1314.61 0.00
978 1314.61 0.00
979 1314.61 0.00
980 1314.61 0.00
981 1314.61 0.00
982 1314.61 0.00
983 1314.61 0.00
984 1314.61 0.00
985 1314.61 0.00
986 1314.61 0.00
987 1314.61 0.00
988 1314.61 0.00
989 1314.61 0.00
990 1314.61 0.00
991 1314.61 0.00
992 1314.61 0.00
993 1314.61 0.00
994 1314.61 0.00
995 1314.61 0.00
996 1314.61 0.00
997 1314.61 0.00
998 1314.61 0.00
999 1314.61 0.00
1000 1314.61 0.00
1001 1314.61 0.00
1002 1314.61 0.00
1003 1314.61 0.00
1004 1314.61 0.00
1005 1314.61 0.00
1006 1314.61 0.00
1007 1314.61 0.00
1008 1314.61 0.00
1009 1314.61 0.00
1010 1314.61 0.00
1011 1314.61 0.00
1012 1314.61 0.00
1013 1314.61 0.00
1014 1314.61 0.00
1015 1314.61 0.00
1016 1314.61 0.00
1017 1314.61 0.00
1018 1314.61 0.00
1019 1314.61 0.00
1020 1314.61 0.00
1021 1314.61 0.00
1022 1314.61 0.00
1023 1314.61 0.00
1024 1314.61 0.00
1025 1314.61 0.00
1026 1314.61 0.00
1027 1314.61 0.00
1028 1314.61 0.00
1029 1314.61 0.00
1030 1314.61 0.00
1031 1314.61 0.00
1032 1314.61 0.00
1033 1314.61 0.00
1034 1314.61 0.00
1035 1314.61 0.00
1036 1314.61 0.00
1037 1314.61 0.00
1038 1314.61 0.00
1039 1314.61 0.00
1040 1314.61 0.00
1041 1314.61 0.00
1042 1314.61 0.00
1043 1314.61 0.00
1044 1314.61 0.00
